         20112946 function calls (20111374 primitive calls) in 73.569 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   47.555   47.555   73.394   73.394 {built-in method mainloop}
   177556   11.913    0.000   11.948    0.000 {built-in method call}
  1480465    2.808    0.000    4.325    0.000 sprite.py:518(get_hitbox_edges)
    45494    2.779    0.000    4.350    0.000 transformations.py:4(poly_circle)
  2961512    0.788    0.000    0.788    0.000 {max}
  2962051    0.730    0.000    0.730    0.000 {min}
   716429    0.704    0.000    4.815    0.000 sprite.py:509(check_two_sprites_for_collision)
  2322729    0.543    0.000    0.543    0.000 {math.cos}
    47607    0.538    0.000    5.585    0.000 sprite.py:419(update_collision)
  2322729    0.509    0.000    0.509    0.000 {math.sin}
  4563081    0.499    0.000    0.499    0.000 {method 'append' of 'list' objects}
    45494    0.372    0.000    9.704    0.000 shapes.py:101(draw)
    58431    0.352    0.000   10.756    0.000 Tkinter.py:2263(_create)
    47607    0.312    0.000    0.342    0.000 hitbox.py:25(update_corners)
    58433    0.276    0.000    0.746    0.000 Tkinter.py:1105(_options)
   942626    0.251    0.000    0.251    0.000 {isinstance}
    47607    0.244    0.000    0.828    0.000 sprite.py:323(update_physics)
      210    0.191    0.001    0.191    0.001 {method 'stretch' of 'ImagingCore' objects}
   123994    0.147    0.000    0.147    0.000 {hasattr}
    58434    0.132    0.000    0.238    0.000 Tkinter.py:109(_cnfmerge)
     2156    0.108    0.000   25.580    0.012 manager.py:54(run)
    49919    0.104    0.000    0.458    0.000 sprite.py:536(update_animation)
   116863    0.103    0.000    0.103    0.000 {_tkinter._flatten}
    24490    0.091    0.000    0.101    0.000 sprite.py:382(clear_queue)
   116957    0.088    0.000    0.088    0.000 {method 'update' of 'dict' objects}
    51964    0.079    0.000    0.226    0.000 Tkinter.py:834(winfo_reqwidth)
    96122    0.076    0.000    0.076    0.000 {range}
     2254    0.075    0.000    0.104    0.000 Tkinter.py:1148(_register)
     2156    0.058    0.000   25.805    0.012 run.py:29(move_one)
    45494    0.057    0.000    4.690    0.000 Tkinter.py:2289(create_polygon)
    54120    0.054    0.000    0.148    0.000 Tkinter.py:830(winfo_reqheight)
        1    0.044    0.044    0.044    0.044 {_tkinter.create}
     2156    0.044    0.000    0.871    0.000 manager.py:70(update_physics)
     2156    0.042    0.000    0.447    0.000 manager.py:75(update_animation)
     1053    0.041    0.000    0.041    0.000 {method 'convert' of 'ImagingCore' objects}
     2156    0.041    0.000    0.745    0.000 sprite.py:289(draw)
     2156    0.041    0.000    5.630    0.003 manager.py:79(update_collision)
     2157    0.039    0.000    0.137    0.000 Tkinter.py:3265(__init__)
     2156    0.039    0.000    0.965    0.000 environment.py:96(draw)
     2156    0.038    0.000    5.194    0.002 shapes.py:1110(draw)
     2157    0.036    0.000    0.508    0.000 ImageTk.py:77(__init__)
