         4138279 function calls (4134817 primitive calls) in 69.816 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1033    0.003    0.000    0.018    0.000 Image.py:773(copy)
     8260    0.009    0.000    0.018    0.000 Tkinter.py:1846(__getattr__)
    11463    0.018    0.000    0.018    0.000 Image.py:461(__init__)
      103    0.001    0.000    0.017    0.000 ImageFile.py:73(__init__)
     1716    0.010    0.000    0.016    0.000 Tkinter.py:1170(_root)
    50279    0.016    0.000    0.016    0.000 {min}
     4824    0.014    0.000    0.016    0.000 ImageTk.py:124(__str__)
      103    0.001    0.000    0.016    0.000 GifImagePlugin.py:65(_open)
     4824    0.015    0.000    0.015    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.015    0.015 sprite.py:1(<module>)
        1    0.000    0.000    0.015    0.015 inspect.py:25(<module>)
      186    0.001    0.000    0.014    0.000 sprite.py:699(move_forward)
       10    0.000    0.000    0.012    0.001 re.py:188(compile)
       10    0.000    0.000    0.012    0.001 re.py:226(_compile)
       10    0.000    0.000    0.012    0.001 sre_compile.py:493(compile)
        1    0.000    0.000    0.012    0.012 tokenize.py:23(<module>)
      186    0.009    0.000    0.012    0.000 sprite.py:761(glide_to)
        7    0.000    0.000    0.011    0.002 {map}
      103    0.004    0.000    0.011    0.000 GifImagePlugin.py:93(seek)
     6904    0.011    0.000    0.011    0.000 Image.py:519(__getattr__)
     2522    0.011    0.000    0.011    0.000 {built-in method deletecommand}
     1033    0.010    0.000    0.010    0.000 {method 'copy' of 'ImagingCore' objects}
    15842    0.010    0.000    0.010    0.000 {method 'pixel_access' of 'ImagingCore' objects}
     1033    0.009    0.000    0.009    0.000 {PIL._imaging.fill}
     3432    0.009    0.000    0.009    0.000 {built-in method getboolean}
     8622    0.009    0.000    0.009    0.000 {method 'pop' of 'list' objects}
     2520    0.009    0.000    0.009    0.000 Tkinter.py:1479(__init__)
     8498    0.008    0.000    0.008    0.000 {getattr}
     3951    0.008    0.000    0.008    0.000 {method 'remove' of 'list' objects}
     2447    0.008    0.000    0.008    0.000 {method 'join' of 'str' objects}
       10    0.000    0.000    0.007    0.001 sre_compile.py:478(_code)
      349    0.001    0.000    0.007    0.000 starhedgehog.py:20(left)
       92    0.001    0.000    0.006    0.000 environment.py:149(newfunction)
     1036    0.006    0.000    0.006    0.000 {PIL._imaging.new}
      349    0.000    0.000    0.006    0.000 sprite.py:839(turn_left)
   270/10    0.002    0.000    0.006    0.001 sre_compile.py:32(_compile)
     2527    0.006    0.000    0.006    0.000 {repr}
      349    0.004    0.000    0.006    0.000 sprite.py:825(turn_counterclockwise)
     5165    0.005    0.000    0.005    0.000 Image.py:1366(transform)
       10    0.000    0.000    0.005    0.001 sre_parse.py:675(parse)
    62/10    0.000    0.000    0.005    0.001 sre_parse.py:301(_parse_sub)
   121/10    0.002    0.000    0.005    0.001 sre_parse.py:379(_parse)
      186    0.002    0.000    0.005    0.000 environment.py:345(wait)
        1    0.001    0.001    0.005    0.005 Image.py:27(<module>)
        1    0.000    0.000    0.005    0.005 run.py:24(do)
      107    0.000    0.000    0.004    0.000 Tkinter.py:1002(bind)
     1706    0.002    0.000    0.004    0.000 GifImagePlugin.py:59(data)
      107    0.001    0.000    0.004    0.000 Tkinter.py:985(_bind)
        1    0.000    0.000    0.004    0.004 {execfile}
     9294    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
    15830    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     2066    0.002    0.000    0.004    0.000 _util.py:4(isStringType)
        1    0.000    0.000    0.004    0.004 starhedgehog.py:1(<module>)
     2066    0.001    0.000    0.004    0.000 Image.py:104(isImageType)
      858    0.002    0.000    0.003    0.000 manager.py:35(key_release)
      122    0.000    0.000    0.003    0.000 sre_compile.py:178(_compile_charset)
     1934    0.003    0.000    0.003    0.000 sprite.py:845(wait)
     1727    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
     4237    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
      122    0.002    0.000    0.003    0.000 sre_compile.py:207(_optimize_charset)
     7238    0.003    0.000    0.003    0.000 Tkinter.py:3287(__str__)
        1    0.000    0.000    0.003    0.003 environment.py:243(set_background)
      103    0.001    0.000    0.002    0.000 Image.py:316(preinit)
        6    0.002    0.000    0.002    0.000 collections.py:288(namedtuple)
     5674    0.002    0.000    0.002    0.000 _binary.py:15(i8)
        1    0.002    0.002    0.002    0.002 Tkinter.py:31(<module>)
        2    0.000    0.000    0.002    0.001 {__import__}
       92    0.000    0.000    0.002    0.000 starhedgehog.py:24(right)
     2521    0.002    0.000    0.002    0.000 {id}
        1    0.000    0.000    0.002    0.002 FixTk.py:1(<module>)
        4    0.002    0.000    0.002    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.002    0.002 Tkinter.py:1808(destroy)
       92    0.000    0.000    0.002    0.000 sprite.py:819(turn_right)
       70    0.000    0.000    0.002    0.000 inspect.py:804(getargspec)
      103    0.000    0.000    0.002    0.000 ImagePalette.py:111(raw)
        1    0.001    0.001    0.002    0.002 __init__.py:4(<module>)
       92    0.001    0.000    0.002    0.000 sprite.py:805(turn_clockwise)
      103    0.002    0.000    0.002    0.000 {open}
     2411    0.002    0.000    0.002    0.000 Tkinter.py:3288(__del__)
      103    0.000    0.000    0.001    0.000 copy.py:66(copy)
        1    0.000    0.000    0.001    0.001 Tkinter.py:2188(__init__)
        1    0.000    0.000    0.001    0.001 Tkinter.py:2043(__init__)
      721    0.001    0.000    0.001    0.000 _binary.py:28(i16le)
      585    0.001    0.000    0.001    0.000 manager.py:43(left_press)
      103    0.001    0.000    0.001    0.000 ImagePalette.py:26(__init__)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:27(<module>)
      764    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
      103    0.000    0.000    0.001    0.000 copy.py:123(_copy_inst)
        1    0.000    0.000    0.001    0.001 sprite.py:1334(__init__)
      939    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
     2066    0.001    0.000    0.001    0.000 {math.ceil}
     1205    0.001    0.000    0.001    0.000 sre_parse.py:130(__getitem__)
       70    0.001    0.000    0.001    0.000 inspect.py:744(getargs)
        1    0.000    0.000    0.001    0.001 ImageFile.py:30(<module>)
     2412    0.001    0.000    0.001    0.000 environment.py:82(update_animation)
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
       10    0.000    0.000    0.001    0.000 sre_compile.py:359(_compile_info)
       26    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
  387/129    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
     2413    0.001    0.000    0.001    0.000 {method 'isblock' of 'ImagingCore' objects}
     2412    0.001    0.000    0.001    0.000 environment.py:85(update_collision)
     2066    0.001    0.000    0.001    0.000 {math.floor}
        9    0.000    0.000    0.001    0.000 abc.py:86(__new__)
     5964    0.001    0.000    0.001    0.000 {ord}
       96    0.000    0.000    0.001    0.000 random.py:236(randint)
        1    0.000    0.000    0.001    0.001 hashlib.py:55(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2061(destroy)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
       35    0.000    0.000    0.000    0.000 starhedgehog.py:34(index_collision)
       96    0.000    0.000    0.000    0.000 random.py:173(randrange)
        2    0.000    0.000    0.000    0.000 Tkinter.py:384(destroy)
      178    0.000    0.000    0.000    0.000 manager.py:41(up_press)
        1    0.000    0.000    0.000    0.000 {method 'convert2' of 'ImagingCore' objects}
      187    0.000    0.000    0.000    0.000 sprite.py:745(go_to)
      206    0.000    0.000    0.000    0.000 _util.py:6(isPath)
        1    0.000    0.000    0.000    0.000 environment.py:355(__init__)
      738    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.000    0.000 environment.py:34(__init__)
