         31968580 function calls (31967572 primitive calls) in 91.417 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   58.051   58.051   91.188   91.188 {built-in method mainloop}
   322458   11.301    0.000   11.332    0.000 {built-in method call}
  4528452    7.528    0.000   11.704    0.000 sprite.py:518(get_hitbox_edges)
  9056997    2.155    0.000    2.155    0.000 {max}
  2215370    2.130    0.000   13.435    0.000 sprite.py:509(check_two_sprites_for_collision)
  9057533    2.022    0.000    2.022    0.000 {min}
    95081    1.471    0.000   15.459    0.000 sprite.py:419(update_collision)
    92441    0.662    0.000    0.873    0.000 transformations.py:74(poly_poly)
  2642931    0.647    0.000    0.647    0.000 {isinstance}
    92441    0.616    0.000    4.514    0.000 shapes.py:157(draw)
    97784    0.602    0.000    0.650    0.000 hitbox.py:25(update_corners)
   103048    0.424    0.000    1.120    0.000 Tkinter.py:1105(_options)
    97712    0.390    0.000    1.484    0.000 sprite.py:323(update_physics)
   103046    0.361    0.000    8.883    0.000 Tkinter.py:2263(_create)
   212062    0.192    0.000    0.192    0.000 {hasattr}
   103049    0.184    0.000    0.320    0.000 Tkinter.py:109(_cnfmerge)
     2631    0.159    0.000   32.822    0.012 manager.py:54(run)
   104188    0.157    0.000    0.223    0.000 sprite.py:536(update_animation)
    92441    0.127    0.000    1.000    0.000 transformations.py:52(poly_rect)
   100416    0.123    0.000    0.349    0.000 Tkinter.py:834(winfo_reqwidth)
    31308    0.113    0.000    0.124    0.000 sprite.py:382(clear_queue)
   206245    0.112    0.000    0.112    0.000 {method 'update' of 'dict' objects}
   206093    0.102    0.000    0.102    0.000 {_tkinter._flatten}
     2787    0.092    0.000    0.129    0.000 Tkinter.py:1148(_register)
   752023    0.091    0.000    0.091    0.000 {method 'append' of 'list' objects}
   103047    0.091    0.000    0.246    0.000 Tkinter.py:830(winfo_reqheight)
        1    0.090    0.090    0.091    0.091 Tkinter.py:31(<module>)
   193099    0.088    0.000    0.088    0.000 {range}
     2631    0.080    0.000    1.565    0.001 manager.py:70(update_physics)
     2631    0.070    0.000   15.534    0.006 manager.py:79(update_collision)
     2631    0.068    0.000    0.280    0.000 manager.py:75(update_animation)
     2631    0.067    0.000   33.096    0.013 run.py:29(move_one)
    92441    0.067    0.000    2.401    0.000 Tkinter.py:2289(create_polygon)
   190229    0.065    0.000    0.065    0.000 {math.cos}
461955/461802    0.057    0.000    0.057    0.000 {len}
     2631    0.049    0.000    0.996    0.000 environment.py:96(draw)
     2631    0.048    0.000    0.963    0.000 sprite.py:289(draw)
        1    0.044    0.044    0.044    0.044 {_tkinter.create}
     2632    0.044    0.000    0.142    0.000 Tkinter.py:3265(__init__)
   105700    0.044    0.000    0.044    0.000 {method 'items' of 'dict' objects}
     2632    0.040    0.000    0.682    0.000 ImageTk.py:77(__init__)
    97713    0.040    0.000    0.044    0.000 sprite.py:475(update_events)
     2631    0.039    0.000    0.186    0.000 manager.py:86(update_events)
   190229    0.038    0.000    0.038    0.000 {math.sin}
     2631    0.033    0.000    0.207    0.000 Tkinter.py:523(after)
     2711    0.029    0.000    5.574    0.002 shapes.py:1051(draw)
     2711    0.025    0.000    0.042    0.000 Tkinter.py:72(_stringify)
     2789    0.022    0.000    0.022    0.000 {built-in method createcommand}
3103/2944    0.020    0.000   33.137    0.011 Tkinter.py:1484(__call__)
     2630    0.018    0.000   33.083    0.013 Tkinter.py:534(callit)
      472    0.018    0.000    0.044    0.000 Tkinter.py:1179(_substitute)
     5422    0.015    0.000    0.015    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     2631    0.015    0.000    0.230    0.000 Tkinter.py:2305(delete)
     2632    0.015    0.000    0.479    0.000 ImageTk.py:153(paste)
     5262    0.014    0.000    0.017    0.000 ImageTk.py:124(__str__)
     5192    0.013    0.000    0.013    0.000 Tkinter.py:1185(getint_event)
     2631    0.012    0.000    0.103    0.000 environment.py:88(update_events)
     2632    0.010    0.000    0.152    0.000 Tkinter.py:3324(__init__)
     2631    0.009    0.000    2.822    0.001 Tkinter.py:965(update)
     2789    0.009    0.000    0.009    0.000 {built-in method deletecommand}
     2630    0.009    0.000    0.024    0.000 Tkinter.py:394(deletecommand)
     2746    0.008    0.000    0.008    0.000 {method 'join' of 'str' objects}
     2787    0.008    0.000    0.008    0.000 Tkinter.py:1479(__init__)
     5280    0.008    0.000    0.008    0.000 Image.py:519(__getattr__)
     2661    0.007    0.000    0.012    0.000 Image.py:628(load)
     2947    0.007    0.000    0.007    0.000 {method 'remove' of 'list' objects}
     5262    0.007    0.000    0.326    0.000 Tkinter.py:2280(create_image)
     6210    0.007    0.000    0.013    0.000 Tkinter.py:1846(__getattr__)
     2632    0.006    0.000    0.720    0.000 Tkinter.py:2292(create_rectangle)
     2711    0.006    0.000    5.522    0.002 Tkinter.py:2295(create_text)
     6448    0.006    0.000    0.006    0.000 {getattr}
     2630    0.005    0.000    0.022    0.000 ImageTk.py:115(__del__)
    26051    0.005    0.000    0.005    0.000 {method 'keys' of 'dict' objects}
      372    0.005    0.000    0.038    0.000 environment.py:179(newfunction)
     2794    0.004    0.000    0.004    0.000 {repr}
      151    0.004    0.000    0.013    0.000 GifImagePlugin.py:93(seek)
     2658    0.004    0.000    0.004    0.000 {method 'pixel_access' of 'ImagingCore' objects}
      472    0.004    0.000    0.010    0.000 Tkinter.py:1131(nametowidget)
     6253    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
       74    0.003    0.000    0.035    0.000 sprite.py:141(__init__)
        1    0.003    0.003    0.003    0.003 {method 'stretch' of 'ImagingCore' objects}
     7895    0.003    0.000    0.003    0.000 Tkinter.py:3287(__str__)
      472    0.003    0.000    0.005    0.000 Tkinter.py:1170(_root)
        1    0.003    0.003    0.147    0.147 environment.py:1(<module>)
      944    0.003    0.000    0.003    0.000 {built-in method getboolean}
     2522    0.003    0.000    0.005    0.000 GifImagePlugin.py:59(data)
      122    0.002    0.000    0.003    0.000 sre_compile.py:207(_optimize_charset)
   121/10    0.002    0.000    0.005    0.001 sre_parse.py:379(_parse)
        1    0.002    0.002    0.007    0.007 Image.py:27(<module>)
     8362    0.002    0.000    0.003    0.000 _binary.py:15(i8)
   270/10    0.002    0.000    0.007    0.001 sre_compile.py:32(_compile)
        6    0.002    0.000    0.002    0.000 collections.py:288(namedtuple)
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
        4    0.002    0.000    0.002    0.000 {method 'decode' of 'ImagingDecoder' objects}
      155    0.002    0.000    0.005    0.000 Tkinter.py:985(_bind)
      151    0.002    0.000    0.019    0.000 GifImagePlugin.py:65(_open)
      151    0.002    0.000    0.002    0.000 {open}
     2630    0.001    0.000    0.001    0.000 Tkinter.py:3288(__del__)
     2788    0.001    0.000    0.001    0.000 {id}
      151    0.001    0.000    0.028    0.000 Image.py:1973(open)
      151    0.001    0.000    0.002    0.000 ImagePalette.py:26(__init__)
        1    0.001    0.001    0.018    0.018 shapes.py:1(<module>)
       71    0.001    0.000    0.034    0.000 shapes.py:125(__init__)
      483    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     1057    0.001    0.000    0.002    0.000 _binary.py:28(i16le)
      939    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
     2631    0.001    0.000    0.001    0.000 environment.py:82(update_animation)
       26    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
  387/129    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
      151    0.001    0.000    0.020    0.000 ImageFile.py:73(__init__)
     8652    0.001    0.000    0.001    0.000 {ord}
     1205    0.001    0.000    0.001    0.000 sre_parse.py:130(__getitem__)
       35    0.001    0.000    0.035    0.001 flappydino.py:35(interval)
        8    0.001    0.000    0.001    0.000 {method 'convert' of 'ImagingCore' objects}
     2631    0.001    0.000    0.001    0.000 environment.py:85(update_collision)
     2632    0.001    0.000    0.001    0.000 {method 'isblock' of 'ImagingCore' objects}
      372    0.001    0.000    0.001    0.000 flappydino.py:26(space)
      151    0.001    0.000    0.001    0.000 copy.py:123(_copy_inst)
      151    0.001    0.000    0.002    0.000 Image.py:316(preinit)
      236    0.001    0.000    0.001    0.000 manager.py:35(key_release)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
      151    0.001    0.000    0.002    0.000 ImagePalette.py:111(raw)
        1    0.000    0.000    0.001    0.001 hashlib.py:55(<module>)
        1    0.000    0.000    0.166    0.166 __init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 sprite.py:1(<module>)
      236    0.000    0.000    0.001    0.000 manager.py:32(key_press)
        1    0.000    0.000    0.005    0.005 {execfile}
