         3205740 function calls (3203733 primitive calls) in 64.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4550    0.013    0.000    0.015    0.000 ImageTk.py:124(__str__)
     4550    0.015    0.000    0.015    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.014    0.014 sprite.py:1(<module>)
      179    0.001    0.000    0.014    0.000 sprite.py:699(move_forward)
        1    0.000    0.000    0.014    0.014 inspect.py:25(<module>)
     5862    0.007    0.000    0.013    0.000 Tkinter.py:1846(__getattr__)
    42443    0.013    0.000    0.013    0.000 {min}
      654    0.005    0.000    0.013    0.000 Tkinter.py:1131(nametowidget)
       97    0.004    0.000    0.012    0.000 GifImagePlugin.py:93(seek)
      179    0.010    0.000    0.012    0.000 sprite.py:761(glide_to)
       10    0.000    0.000    0.011    0.001 re.py:188(compile)
       10    0.000    0.000    0.011    0.001 re.py:226(_compile)
       10    0.000    0.000    0.011    0.001 sre_compile.py:493(compile)
      517    0.003    0.000    0.011    0.000 ImageFile.py:125(load)
        1    0.000    0.000    0.011    0.011 tokenize.py:23(<module>)
        1    0.000    0.000    0.011    0.011 run.py:24(do)
     2379    0.010    0.000    0.010    0.000 {built-in method deletecommand}
        7    0.000    0.000    0.010    0.001 {map}
        1    0.001    0.001    0.010    0.010 {execfile}
        1    0.000    0.000    0.009    0.009 starhedgehog.py:1(<module>)
     5594    0.009    0.000    0.009    0.000 Image.py:519(__getattr__)
      515    0.001    0.000    0.009    0.000 Image.py:773(copy)
     5759    0.009    0.000    0.009    0.000 Image.py:461(__init__)
     2377    0.009    0.000    0.009    0.000 Tkinter.py:1479(__init__)
      127    0.001    0.000    0.008    0.000 environment.py:139(newfunction)
     7493    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
     2310    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
     3004    0.007    0.000    0.007    0.000 {method 'remove' of 'list' objects}
     8971    0.007    0.000    0.007    0.000 {method 'pixel_access' of 'ImagingCore' objects}
      654    0.004    0.000    0.006    0.000 Tkinter.py:1170(_root)
     6100    0.006    0.000    0.006    0.000 {getattr}
       10    0.000    0.000    0.006    0.001 sre_compile.py:478(_code)
        1    0.000    0.000    0.006    0.006 environment.py:243(set_background)
   270/10    0.002    0.000    0.005    0.001 sre_compile.py:32(_compile)
       97    0.001    0.000    0.005    0.000 Image.py:316(preinit)
      515    0.005    0.000    0.005    0.000 {method 'copy' of 'ImagingCore' objects}
     1604    0.002    0.000    0.005    0.000 GifImagePlugin.py:59(data)
       10    0.000    0.000    0.005    0.000 sre_parse.py:675(parse)
     2384    0.005    0.000    0.005    0.000 {repr}
    62/10    0.000    0.000    0.005    0.000 sre_parse.py:301(_parse_sub)
   121/10    0.002    0.000    0.005    0.000 sre_parse.py:379(_parse)
      515    0.004    0.000    0.004    0.000 {PIL._imaging.fill}
      179    0.001    0.000    0.004    0.000 environment.py:345(wait)
      101    0.000    0.000    0.004    0.000 Tkinter.py:1002(bind)
        1    0.001    0.001    0.004    0.004 Image.py:27(<module>)
      101    0.001    0.000    0.004    0.000 Tkinter.py:985(_bind)
       50    0.000    0.000    0.004    0.000 environment.py:149(newfunction)
     1308    0.004    0.000    0.004    0.000 {built-in method getboolean}
     3985    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
      518    0.003    0.000    0.003    0.000 {PIL._imaging.new}
       97    0.002    0.000    0.003    0.000 ImagePalette.py:111(raw)
      122    0.000    0.000    0.003    0.000 sre_compile.py:178(_compile_charset)
     6827    0.003    0.000    0.003    0.000 Tkinter.py:3287(__str__)
      127    0.000    0.000    0.003    0.000 starhedgehog.py:20(left)
     1506    0.002    0.000    0.003    0.000 sprite.py:845(wait)
      122    0.002    0.000    0.003    0.000 sre_compile.py:207(_optimize_charset)
     2575    0.003    0.000    0.003    0.000 Image.py:1366(transform)
     5338    0.002    0.000    0.003    0.000 _binary.py:15(i8)
      127    0.000    0.000    0.003    0.000 sprite.py:839(turn_left)
        1    0.000    0.000    0.002    0.002 sprite.py:1334(__init__)
        1    0.000    0.000    0.002    0.002 BmpImagePlugin.py:27(<module>)
        6    0.002    0.000    0.002    0.000 collections.py:288(namedtuple)
      127    0.002    0.000    0.002    0.000 sprite.py:825(turn_counterclockwise)
     1030    0.001    0.000    0.002    0.000 _util.py:4(isStringType)
     4632    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
     1030    0.001    0.000    0.002    0.000 Image.py:104(isImageType)
        2    0.000    0.000    0.002    0.001 {__import__}
        1    0.000    0.000    0.002    0.002 Tkinter.py:1808(destroy)
     6548    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
        4    0.002    0.000    0.002    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.002    0.002 ImageFile.py:30(<module>)
       97    0.002    0.000    0.002    0.000 {open}
     2378    0.002    0.000    0.002    0.000 {id}
        1    0.000    0.000    0.002    0.002 FixTk.py:1(<module>)
       97    0.000    0.000    0.002    0.000 copy.py:66(copy)
      679    0.001    0.000    0.002    0.000 _binary.py:28(i16le)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
       66    0.000    0.000    0.001    0.000 inspect.py:804(getargspec)
       97    0.001    0.000    0.001    0.000 ImagePalette.py:26(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:4(<module>)
      665    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      327    0.001    0.000    0.001    0.000 manager.py:35(key_release)
     2274    0.001    0.000    0.001    0.000 Tkinter.py:3288(__del__)
       97    0.001    0.000    0.001    0.000 copy.py:123(_copy_inst)
       50    0.000    0.000    0.001    0.000 starhedgehog.py:24(right)
       50    0.000    0.000    0.001    0.000 sprite.py:819(turn_right)
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
      764    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
       50    0.001    0.000    0.001    0.000 sprite.py:805(turn_clockwise)
        9    0.000    0.000    0.001    0.000 abc.py:86(__new__)
     1205    0.001    0.000    0.001    0.000 sre_parse.py:130(__getitem__)
      939    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
     2275    0.001    0.000    0.001    0.000 environment.py:82(update_animation)
        1    0.000    0.000    0.001    0.001 shapes.py:1032(__init__)
       66    0.001    0.000    0.001    0.000 inspect.py:744(getargs)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
       10    0.000    0.000    0.001    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.001    0.001 environment.py:355(__init__)
     2276    0.001    0.000    0.001    0.000 {method 'isblock' of 'ImagingCore' objects}
  387/129    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.001    0.001 environment.py:34(__init__)
     2275    0.001    0.000    0.001    0.000 environment.py:85(update_collision)
       26    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
     5628    0.001    0.000    0.001    0.000 {ord}
       90    0.000    0.000    0.001    0.000 random.py:236(randint)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.000    0.000    0.001    0.001 PpmImagePlugin.py:18(<module>)
       12    0.000    0.000    0.000    0.000 abc.py:105(register)
     1030    0.000    0.000    0.000    0.000 {math.ceil}
       90    0.000    0.000    0.000    0.000 random.py:173(randrange)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
       92    0.000    0.000    0.000    0.000 hitbox.py:8(__init__)
        1    0.000    0.000    0.000    0.000 {method 'convert2' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2188(__init__)
       33    0.000    0.000    0.000    0.000 starhedgehog.py:34(index_collision)
    36/24    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2043(__init__)
       12    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
      180    0.000    0.000    0.000    0.000 sprite.py:745(go_to)
      156    0.000    0.000    0.000    0.000 manager.py:43(left_press)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      142    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x919120}
      141    0.000    0.000    0.000    0.000 manager.py:41(up_press)
      194    0.000    0.000    0.000    0.000 _util.py:6(isPath)
      197    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
