         10713126 function calls (10712000 primitive calls) in 51.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      844    0.002    0.000    0.002    0.000 {built-in method getboolean}
      422    0.002    0.000    0.003    0.000 Tkinter.py:1170(_root)
     1556    0.002    0.000    0.002    0.000 {repr}
       73    0.002    0.000    0.013    0.000 Image.py:1338(rotate)
   121/10    0.002    0.000    0.005    0.000 sre_parse.py:379(_parse)
        1    0.002    0.002    0.002    0.002 Tkinter.py:31(<module>)
        1    0.002    0.002    0.006    0.006 Image.py:27(<module>)
      159    0.002    0.000    0.017    0.000 GifImagePlugin.py:65(_open)
      159    0.002    0.000    0.018    0.000 environment.py:149(newfunction)
      159    0.002    0.000    0.002    0.000 {open}
   270/10    0.002    0.000    0.006    0.001 sre_compile.py:32(_compile)
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
     1608    0.002    0.000    0.003    0.000 GifImagePlugin.py:59(data)
      144    0.002    0.000    0.016    0.000 environment.py:139(newfunction)
      549    0.002    0.000    0.003    0.000 Image.py:472(_new)
     6640    0.002    0.000    0.002    0.000 _binary.py:15(i8)
      147    0.002    0.000    0.002    0.000 {PIL._imaging.new}
      159    0.002    0.000    0.063    0.000 Image.py:1973(open)
        1    0.001    0.001    0.017    0.017 shapes.py:1(<module>)
      293    0.001    0.000    0.032    0.000 Image.py:664(convert)
      159    0.001    0.000    0.001    0.000 ImagePalette.py:26(__init__)
      854    0.001    0.000    0.001    0.000 Image.py:461(__init__)
     1550    0.001    0.000    0.001    0.000 {id}
     1113    0.001    0.000    0.002    0.000 _binary.py:28(i16le)
       73    0.001    0.000    0.001    0.000 {method 'transform2' of 'ImagingCore' objects}
      939    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
      433    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      159    0.001    0.000    0.018    0.000 ImageFile.py:73(__init__)
       26    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
  387/129    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
     1205    0.001    0.000    0.001    0.000 sre_parse.py:130(__getitem__)
       37    0.001    0.000    0.074    0.002 sprite.py:523(update_image)
       73    0.001    0.000    0.006    0.000 Image.py:1046(paste)
   146/73    0.001    0.000    0.011    0.000 Image.py:1600(transform)
      159    0.001    0.000    0.003    0.000 Image.py:316(preinit)
     6930    0.001    0.000    0.001    0.000 {ord}
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
       93    0.001    0.000    0.003    0.000 Tkinter.py:985(_bind)
      159    0.001    0.000    0.001    0.000 copy.py:123(_copy_inst)
       73    0.001    0.000    0.001    0.000 {method 'copy' of 'ImagingCore' objects}
      211    0.001    0.000    0.001    0.000 manager.py:35(key_release)
      392    0.001    0.000    0.001    0.000 {method 'seek' of 'file' objects}
      146    0.000    0.000    0.002    0.000 Image.py:1765(new)
       46    0.000    0.000    0.005    0.000 environment.py:169(newfunction)
       47    0.000    0.000    0.005    0.000 environment.py:159(newfunction)
      159    0.000    0.000    0.002    0.000 ImagePalette.py:111(raw)
    74/37    0.000    0.000    0.051    0.001 Image.py:1299(resize)
     1455    0.000    0.000    0.000    0.000 environment.py:82(update_animation)
       56    0.000    0.000    0.001    0.000 inspect.py:744(getargs)
       73    0.000    0.000    0.000    0.000 {PIL._imaging.fill}
       29    0.000    0.000    0.039    0.001 earthdayprojects.py:62(interval)
        1    0.000    0.000    0.000    0.000 {method 'convert2' of 'ImagingCore' objects}
      122    0.000    0.000    0.003    0.000 sre_compile.py:178(_compile_charset)
     1455    0.000    0.000    0.000    0.000 environment.py:85(update_collision)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.003    0.003 FixTk.py:1(<module>)
        1    0.000    0.000    0.075    0.075 __init__.py:1(<module>)
        1    0.000    0.000    0.016    0.016 sprite.py:1(<module>)
    62/10    0.000    0.000    0.005    0.000 sre_parse.py:301(_parse_sub)
       56    0.000    0.000    0.001    0.000 inspect.py:804(getargspec)
      159    0.000    0.000    0.003    0.000 sprite.py:676(move_right)
      144    0.000    0.000    0.003    0.000 sprite.py:679(move_left)
      159    0.000    0.000    0.002    0.000 copy.py:66(copy)
      365    0.000    0.000    0.000    0.000 Image.py:1366(transform)
      764    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
       74    0.000    0.000    0.003    0.000 ImageFile.py:246(load_prepare)
       73    0.000    0.000    0.001    0.000 Image.py:1645(__transformer)
       74    0.000    0.000    0.000    0.000 {PIL._imaging.gif_decoder}
       74    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       36    0.000    0.000    0.079    0.002 sprite.py:1323(__init__)
        1    0.000    0.000    0.000    0.000 {method 'new_block' of 'ImagingCore' objects}
      144    0.000    0.000    0.004    0.000 earthdayprojects.py:94(left)
      159    0.000    0.000    0.004    0.000 earthdayprojects.py:98(right)
        1    0.000    0.000    0.000    0.000 collections.py:1(<module>)
       74    0.000    0.000    0.000    0.000 {method 'putpalette' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
        1    0.000    0.000   51.308   51.308 run.py:2(<module>)
        1    0.000    0.000    0.015    0.015 inspect.py:25(<module>)
      549    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      397    0.000    0.000    0.000    0.000 {math.sqrt}
       74    0.000    0.000    0.001    0.000 Image.py:378(_getdecoder)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:27(<module>)
      122    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x919120}
       58    0.000    0.000    0.000    0.000 random.py:173(randrange)
      318    0.000    0.000    0.000    0.000 _util.py:6(isPath)
        1    0.000    0.000    0.012    0.012 tokenize.py:23(<module>)
       28    0.000    0.000    0.039    0.001 earthdayprojects.py:122(index_collision)
      792    0.000    0.000    0.000    0.000 environment.py:135(clear_queue)
      122    0.000    0.000    0.000    0.000 manager.py:45(right_press)
       58    0.000    0.000    0.000    0.000 sprite.py:734(go_to)
      738    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
      270    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       73    0.000    0.000    0.007    0.000 Image.py:2071(composite)
      404    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        9    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        2    0.000    0.000    0.003    0.002 {__import__}
       73    0.000    0.000    0.001    0.000 Image.py:773(copy)
        1    0.000    0.000    0.001    0.001 ImageFile.py:30(<module>)
       47    0.000    0.000    0.000    0.000 hitbox.py:8(__init__)
      119    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       10    0.000    0.000    0.012    0.001 re.py:226(_compile)
      159    0.000    0.000    0.000    0.000 BmpImagePlugin.py:53(_accept)
      574    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:377(Misc)
       54    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      159    0.000    0.000    0.000    0.000 GifImagePlugin.py:46(_accept)
      384    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      323    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
       74    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1817(readprofile)
       93    0.000    0.000    0.003    0.000 Tkinter.py:1002(bind)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       46    0.000    0.000    0.001    0.000 sprite.py:682(move_down)
       62    0.000    0.000    0.000    0.000 manager.py:43(left_press)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:28(<module>)
        1    0.000    0.000    0.000    0.000 ImageTk.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       47    0.000    0.000    0.001    0.000 sprite.py:685(move_up)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       12    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
      146    0.000    0.000    0.000    0.000 _util.py:4(isStringType)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       28    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      146    0.000    0.000    0.000    0.000 Image.py:104(isImageType)
      244    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       47    0.000    0.000    0.001    0.000 earthdayprojects.py:102(up)
       58    0.000    0.000    0.000    0.000 random.py:236(randint)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
